"","ecoregion","province","realm","eco_type"
"777","Kalahari xeric savanna","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"778","Madagascar succulent woodlands","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"779","Drakensberg alti-montane grasslands and woodlands","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"780","Nullarbor Plains xeric shrublands","Australian Deserts and Xeric Shrublands","Australian","terrestrial"
"781","KwaZulu-Cape coastal forest mosaic","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"782","Norfolk Island subtropical forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"783","Kermadec Islands subtropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"784","Simpson desert","Australian Deserts and Xeric Shrublands","Australian","terrestrial"
"785","Carnarvon xeric shrublands","Australian Deserts and Xeric Shrublands","Australian","terrestrial"
"786","Gibson desert","Australian Deserts and Xeric Shrublands","Australian","terrestrial"
"787","Eastern Australian temperate forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"788","Maputaland coastal forest mosaic","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"789","Eastern Australia mulga shrublands","Australian Temperate Grasslands, Savannas and Shrublands","Australian","terrestrial"
"790","Highveld grasslands","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"791","Southwest Australia savanna","Australian Mediterranean Forests, Woodlands and Scrub","Australian","terrestrial"
"792","Great Victoria desert","Australian Deserts and Xeric Shrublands","Australian","terrestrial"
"793","Nama Karoo","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"794","Rapa Nui subtropical broadleaf forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"795","Southeast Australia temperate savanna","Australian Temperate Grasslands, Savannas and Shrublands","Australian","terrestrial"
"796","Coolgardie woodlands","Australian Mediterranean Forests, Woodlands and Scrub","Australian","terrestrial"
"797","Swan Coastal Plain Scrub and Woodlands","Australian Mediterranean Forests, Woodlands and Scrub","Australian","terrestrial"
"798","Eyre and York mallee","Australian Mediterranean Forests, Woodlands and Scrub","Australian","terrestrial"
"799","Southeast Australia temperate forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"800","Jarrah-Karri forest and shrublands","Australian Mediterranean Forests, Woodlands and Scrub","Australian","terrestrial"
"801","Northland temperate kauri forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"802","Naracoorte woodlands","Australian Mediterranean Forests, Woodlands and Scrub","Australian","terrestrial"
"803","Australian Alps montane grasslands","Australian Montane Grasslands and Shrublands","Australian","terrestrial"
"804","Tristan Da Cunha-Gough Islands shrub and grasslands","Afrotropical Temperate Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"805","Amsterdam and Saint-Paul Islands temperate grasslands","Afrotropical Temperate Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"806","Nelson Coast temperate forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"807","Richmond temperate forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"808","Tasmanian Central Highland forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"809","Antipodes Subantarctic Islands tundra","Australian Tundra","Australian","terrestrial"
"810","Trindade-Martin Vaz Islands tropical forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"811","Lower Mackenzie","NA polar freshwaters",NA,"terrestrial"
"812","Central Arctic Coastal","NA polar freshwaters",NA,"terrestrial"
"813","Upper Mackenzie","NA temperate floodplain rivers and wetlands",NA,"terrestrial"
"814","English - Winnipeg Lakes","NA large lakes",NA,"terrestrial"
"815","Southern Hudson Bay","NA temperate coastal rivers",NA,"terrestrial"
"816","Laurentian Great Lakes","NA large lakes",NA,"terrestrial"
"817","St.Lawrence","NA temperate coastal rivers",NA,"terrestrial"
"818","Titicaca","NA xeric freshwaters and endorheic (closed) basins",NA,"terrestrial"
"819","Lake Onega - Lake Ladoga","NA large lakes",NA,"terrestrial"
"820","Lake Chad","NA xeric freshwaters and endorheic (closed) basins",NA,"terrestrial"
"821","Volga - Ural","NA temperate floodplain rivers and wetlands",NA,"terrestrial"
"822","Volga Delta - Northern Caspian Drainages","NA large lakes",NA,"terrestrial"
"823","Caspian Marine","NA large lakes",NA,"terrestrial"
"824","Western Caspian Drainages","NA montane freshwaters",NA,"terrestrial"
"825","Turan Plain","NA xeric freshwaters and endorheic (closed) basins",NA,"terrestrial"
"826","Kura - South Caspian Drainages","NA montane freshwaters",NA,"terrestrial"
"827","Southern Baltic Lowlands","NA temperate floodplain rivers and wetlands",NA,"terrestrial"
"828","Yenisei","NA polar freshwaters",NA,"terrestrial"
"829","Lena","NA polar freshwaters",NA,"terrestrial"
"830","Balkash - Alakul","NA montane freshwaters",NA,"terrestrial"
"831","Lake Baikal","NA large lakes",NA,"terrestrial"
"832","Upper Nile","NA tropical and subtropical floodplain rivers and wetland complexes",NA,"terrestrial"
"833","Lake Tanganyika","NA large lakes",NA,"terrestrial"
"834","Lake Turkana","NA large lakes",NA,"terrestrial"
"835","Lake Victoria Basin","NA large lakes",NA,"terrestrial"
"836","Agulhas Bank","Agulhas","Temperate Southern Africa","marine"
"837","Aleutian Islands","Cold Temperate Northeast Pacific","Temperate Northern Pacific","marine"
"838","Amazonia","North Brazil Shelf","Tropical Atlantic","marine"
"839","Amsterdam-St Paul","Amsterdam-St Paul","Temperate Southern Africa","marine"
"840","Amundsen/Bellingshausen Sea","Continental High Antarctic","Southern Ocean","marine"
"841","Andaman and Nicobar Islands","Andaman","Western Indo-Pacific","marine"
"842","Andaman Sea Coral Coast","Andaman","Western Indo-Pacific","marine"
"843","Antarctic Peninsula","Scotia Sea","Southern Ocean","marine"
"844","Arabian (Persian) Gulf","Somali/Arabian","Western Indo-Pacific","marine"
"845","Araucanian","Warm Temperate Southeastern Pacific","Temperate South America","marine"
"846","Arnhem Coast to Gulf of Carpenteria","Sahul Shelf","Central Indo-Pacific","marine"
"847","Arafura Sea","Sahul Shelf","Central Indo-Pacific","marine"
"848","Auckland Island","Subantarctic New Zealand","Southern Ocean","marine"
"849","Azores Canaries Madeira","Lusitanian","Temperate Northern Atlantic","marine"
"850","Baffin Bay - Davis Strait","Arctic","Arctic","marine"
"851","Bahamian","Tropical Northwestern Atlantic","Tropical Atlantic","marine"
"852","Baltic Sea","Northern European Seas","Temperate Northern Atlantic","marine"
"853","Banda Sea","Western Coral Triangle","Central Indo-Pacific","marine"
"854","Bassian","Southeast Australian Shelf","Temperate Australasia","marine"
"855","Beaufort-Amundsen-Viscount Melville-Queen Maud","Arctic","Arctic","marine"
"856","Beaufort Sea - continental coast and shelf","Arctic","Arctic","marine"
"857","Bermuda","Tropical Northwestern Atlantic","Tropical Atlantic","marine"
"858","Bismarck Sea","Eastern Coral Triangle","Central Indo-Pacific","marine"
"859","Black Sea","Black Sea","Temperate Northern Atlantic","marine"
"860","Bonaparte Coast","Sahul Shelf","Central Indo-Pacific","marine"
"861","Bounty and Antipodes Islands","Subantarctic New Zealand","Southern Ocean","marine"
"862","Bouvet Island","Subantarctic Islands","Southern Ocean","marine"
"863","Campbell Island","Subantarctic New Zealand","Southern Ocean","marine"
"864","Cape Howe","Southeast Australian Shelf","Temperate Australasia","marine"
"865","Cape Verde","West African Transition","Tropical Atlantic","marine"
"866","Cargados Carajos/Tromelin Island","Western Indian Ocean","Western Indo-Pacific","marine"
"867","Carolinian","Warm Temperate Northwest Atlantic","Temperate Northern Atlantic","marine"
"868","Celtic Seas","Northern European Seas","Temperate Northern Atlantic","marine"
"869","Central Chile","Warm Temperate Southeastern Pacific","Temperate South America","marine"
"870","Central Kuroshio Current","Warm Temperate Northwest Pacific","Temperate Northern Pacific","marine"
"871","Central New Zealand","Southern New Zealand","Temperate Australasia","marine"
"872","Central Peru","Warm Temperate Southeastern Pacific","Temperate South America","marine"
"873","Central Somali Coast","Somali/Arabian","Western Indo-Pacific","marine"
"874","Chagos","Central Indian Ocean Islands","Western Indo-Pacific","marine"
"875","Channels and Fjords of Southern Chile","Magellanic","Temperate South America","marine"
"876","Chatham Island","Southern New Zealand","Temperate Australasia","marine"
"877","Chiapas-Nicaragua","Tropical East Pacific","Tropical Eastern Pacific","marine"
"878","Chiloense","Magellanic","Temperate South America","marine"
"879","Chukchi Sea","Arctic","Arctic","marine"
"880","Clipperton","Tropical East Pacific","Tropical Eastern Pacific","marine"
"881","Cocos-Keeling/Christmas Island","Java Transitional","Central Indo-Pacific","marine"
"882","Cocos Islands","Tropical East Pacific","Tropical Eastern Pacific","marine"
"883","Coral Sea","Tropical Southwestern Pacific","Central Indo-Pacific","marine"
"884","Cortezian","Warm Temperate Northeast Pacific","Temperate Northern Pacific","marine"
"885","Crozet Islands","Subantarctic Islands","Southern Ocean","marine"
"886","Delagoa","Western Indian Ocean","Western Indo-Pacific","marine"
"887","East Caroline Islands","Tropical Northwestern Pacific","Central Indo-Pacific","marine"
"888","East Antarctic Enderby Land","Continental High Antarctic","Southern Ocean","marine"
"889","East Antarctic Wilkes Land","Continental High Antarctic","Southern Ocean","marine"
"890","East Antarctic Dronning Maud Land","Continental High Antarctic","Southern Ocean","marine"
"891","East China Sea","Warm Temperate Northwest Pacific","Temperate Northern Pacific","marine"
"892","East Greenland Shelf","Arctic","Arctic","marine"
"893","East Siberian Sea","Arctic","Arctic","marine"
"894","Easter Island","Easter Island","Eastern Indo-Pacific","marine"
"895","Eastern Bering Sea","Arctic","Arctic","marine"
"896","Eastern Brazil","Tropical Southwestern Atlantic","Tropical Atlantic","marine"
"897","Eastern Caribbean","Tropical Northwestern Atlantic","Tropical Atlantic","marine"
"898","Eastern Galapagos Islands","Galapagos","Tropical Eastern Pacific","marine"
"899","Eastern India","Bay of Bengal","Western Indo-Pacific","marine"
"900","Eastern Philippines","Western Coral Triangle","Central Indo-Pacific","marine"
"901","Exmouth to Broome","Northwest Australian Shelf","Central Indo-Pacific","marine"
"902","Faroe Plateau","Northern European Seas","Temperate Northern Atlantic","marine"
"903","Fernando de Naronha and Atoll das Rocas","Tropical Southwestern Atlantic","Tropical Atlantic","marine"
"904","Fiji Islands","Tropical Southwestern Pacific","Central Indo-Pacific","marine"
"905","Floridian","Tropical Northwestern Atlantic","Tropical Atlantic","marine"
"906","Gilbert/Ellis Islands","Marshall, Gilbert and Ellis Islands","Eastern Indo-Pacific","marine"
"907","Great Australian Bight","Southwest Australian Shelf","Temperate Australasia","marine"
"908","Guayaquil","Tropical East Pacific","Tropical Eastern Pacific","marine"
"909","Guianan","North Brazil Shelf","Tropical Atlantic","marine"
"910","Gulf of Aden","Red Sea and Gulf of Aden","Western Indo-Pacific","marine"
"911","Gulf of Alaska","Cold Temperate Northeast Pacific","Temperate Northern Pacific","marine"
"912","Gulf of Guinea Central","Gulf of Guinea","Tropical Atlantic","marine"
"913","Gulf of Guinea Islands","Gulf of Guinea","Tropical Atlantic","marine"
"914","Gulf of Guinea Upwelling","Gulf of Guinea","Tropical Atlantic","marine"
"915","Gulf of Guinea West","Gulf of Guinea","Tropical Atlantic","marine"
"916","Gulf of Maine/Bay of Fundy","Cold Temperate Northwest Atlantic","Temperate Northern Atlantic","marine"
"917","Gulf of Oman","Somali/Arabian","Western Indo-Pacific","marine"
"918","Gulf of Papua","Sahul Shelf","Central Indo-Pacific","marine"
"919","Gulf of St. Lawrence - Eastern Scotian Shelf","Cold Temperate Northwest Atlantic","Temperate Northern Atlantic","marine"
"920","Gulf of Thailand","Sunda Shelf","Central Indo-Pacific","marine"
"921","Gulf of Tonkin","South China Sea","Central Indo-Pacific","marine"
"922","Halmahera","Western Coral Triangle","Central Indo-Pacific","marine"
"923","Hawaii","Hawaii","Eastern Indo-Pacific","marine"
"924","Heard and Macdonald Islands","Subantarctic Islands","Southern Ocean","marine"
"925","Houtman","West Central Australian Shelf","Temperate Australasia","marine"
"926","Hudson Complex","Arctic","Arctic","marine"
"927","Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America","marine"
"928","Juan Fernandez and Desventuradas","Juan Fernandez and Desventuradas","Temperate South America","marine"
"929","Kamchatka Shelf and Coast","Cold Temperate Northwest Pacific","Temperate Northern Pacific","marine"
"930","Kara Sea","Arctic","Arctic","marine"
"931","Kerguelen Islands","Subantarctic Islands","Southern Ocean","marine"
"932","Kermadec Island","Northern New Zealand","Temperate Australasia","marine"
"933","Lancaster Sound","Arctic","Arctic","marine"
"934","Laptev Sea","Arctic","Arctic","marine"
"935","Leeuwin","Southwest Australian Shelf","Temperate Australasia","marine"
"936","Lesser Sunda","Western Coral Triangle","Central Indo-Pacific","marine"
"937","Line Islands","Central Polynesia","Eastern Indo-Pacific","marine"
"938","Lord Howe and Norfolk Islands","Lord Howe and Norfolk Islands","Central Indo-Pacific","marine"
"939","Macquarie Island","Subantarctic Islands","Southern Ocean","marine"
"940","Magdalena Transition","Warm Temperate Northeast Pacific","Temperate Northern Pacific","marine"
"941","Malacca Strait","Sunda Shelf","Central Indo-Pacific","marine"
"942","Maldives","Central Indian Ocean Islands","Western Indo-Pacific","marine"
"943","Malvinas/Falklands","Magellanic","Temperate South America","marine"
"944","Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia","marine"
"945","Mariana Islands","Tropical Northwestern Pacific","Central Indo-Pacific","marine"
"946","Tuamotus","Southeast Polynesia","Eastern Indo-Pacific","marine"
"947","Marshall Islands","Marshall, Gilbert and Ellis Islands","Eastern Indo-Pacific","marine"
"948","Mascarene Islands","Western Indian Ocean","Western Indo-Pacific","marine"
"949","Mexican Tropical Pacific","Tropical East Pacific","Tropical Eastern Pacific","marine"
"950","Namaqua","Benguela","Temperate Southern Africa","marine"
"951","Namib","Benguela","Temperate Southern Africa","marine"
"952","Natal","Agulhas","Temperate Southern Africa","marine"
"953","New Caledonia","Tropical Southwestern Pacific","Central Indo-Pacific","marine"
"954","Nicoya","Tropical East Pacific","Tropical Eastern Pacific","marine"
"955","Ningaloo","Northwest Australian Shelf","Central Indo-Pacific","marine"
"956","North American Pacific Fijordland","Cold Temperate Northeast Pacific","Temperate Northern Pacific","marine"
"957","North Greenland","Arctic","Arctic","marine"
"958","North Patagonian Gulfs","Magellanic","Temperate South America","marine"
"959","Northeast Sulawesi","Western Coral Triangle","Central Indo-Pacific","marine"
"960","Northeastern Brazil","Tropical Southwestern Atlantic","Tropical Atlantic","marine"
"961","Northeastern Honshu","Cold Temperate Northwest Pacific","Temperate Northern Pacific","marine"
"962","Northeastern New Zealand","Northern New Zealand","Temperate Australasia","marine"
"963","Northern and Central Red Sea","Red Sea and Gulf of Aden","Western Indo-Pacific","marine"
"964","Northern Bay of Bengal","Bay of Bengal","Western Indo-Pacific","marine"
"965","Northern California","Cold Temperate Northeast Pacific","Temperate Northern Pacific","marine"
"966","Northern Galapagos Islands","Galapagos","Tropical Eastern Pacific","marine"
"967","Northern Grand Banks - Southern Labrador","Arctic","Arctic","marine"
"968","Northern Gulf of Mexico","Warm Temperate Northwest Atlantic","Temperate Northern Atlantic","marine"
"969","Northern Labrador","Arctic","Arctic","marine"
"970","Ogasawara Islands","Tropical Northwestern Pacific","Central Indo-Pacific","marine"
"971","Oregon, Washington, Vancouver Coast and Shelf","Cold Temperate Northeast Pacific","Temperate Northern Pacific","marine"
"972","Oyashio Current","Cold Temperate Northwest Pacific","Temperate Northern Pacific","marine"
"973","Palawan/North Borneo","Western Coral Triangle","Central Indo-Pacific","marine"
"974","Panama Bight","Tropical East Pacific","Tropical Eastern Pacific","marine"
"975","Papua","Western Coral Triangle","Central Indo-Pacific","marine"
"976","Patagonian Shelf","Magellanic","Temperate South America","marine"
"977","Peter the First Island","Subantarctic Islands","Southern Ocean","marine"
"978","Phoenix/Tokelau/Northern Cook Islands","Central Polynesia","Eastern Indo-Pacific","marine"
"979","Prince Edward Islands","Subantarctic Islands","Southern Ocean","marine"
"980","Puget Trough/Georgia Basin","Cold Temperate Northeast Pacific","Temperate Northern Pacific","marine"
"981","Rapa-Pitcairn","Southeast Polynesia","Eastern Indo-Pacific","marine"
"982","Revillagigedos","Tropical East Pacific","Tropical Eastern Pacific","marine"
"983","Rio de la Plata","Warm Temperate Southwestern Atlantic","Temperate South America","marine"
"984","Rio Grande","Warm Temperate Southwestern Atlantic","Temperate South America","marine"
"985","Ross Sea","Continental High Antarctic","Southern Ocean","marine"
"986","Saharan Upwelling","Lusitanian","Temperate Northern Atlantic","marine"
"987","Samoa Islands","Central Polynesia","Eastern Indo-Pacific","marine"
"988","Sao Pedro and Sao Paulo Islands","Tropical Southwestern Atlantic","Tropical Atlantic","marine"
"989","Scotian Shelf","Cold Temperate Northwest Atlantic","Temperate Northern Atlantic","marine"
"990","Sea of Japan/East Sea","Cold Temperate Northwest Pacific","Temperate Northern Pacific","marine"
"991","Sea of Okhotsk","Cold Temperate Northwest Pacific","Temperate Northern Pacific","marine"
"992","Seychelles","Western Indian Ocean","Western Indo-Pacific","marine"
"993","Shark Bay","West Central Australian Shelf","Temperate Australasia","marine"
"994","Snares Island","Southern New Zealand","Temperate Australasia","marine"
"995","Society Islands","Southeast Polynesia","Eastern Indo-Pacific","marine"
"996","Solomon Archipelago","Eastern Coral Triangle","Central Indo-Pacific","marine"
"997","Solomon Sea","Eastern Coral Triangle","Central Indo-Pacific","marine"
"998","South Australian Gulfs","Southwest Australian Shelf","Temperate Australasia","marine"
"999","South China Sea Oceanic Islands","South China Sea","Central Indo-Pacific","marine"
"1000","South European Atlantic Shelf","Lusitanian","Temperate Northern Atlantic","marine"
"1001","South Georgia","Scotia Sea","Southern Ocean","marine"
"1002","South India and Sri Lanka","West and South Indian Shelf","Western Indo-Pacific","marine"
"1003","South Kuroshio","South Kuroshio","Central Indo-Pacific","marine"
"1004","South Orkney Islands","Scotia Sea","Southern Ocean","marine"
"1005","South Sandwich Islands","Scotia Sea","Southern Ocean","marine"
"1006","South Shetland Islands","Scotia Sea","Southern Ocean","marine"
"1007","Southeast Madagascar","Western Indian Ocean","Western Indo-Pacific","marine"
"1008","Southeast Papua New Guinea","Eastern Coral Triangle","Central Indo-Pacific","marine"
"1009","Southeastern Brazil","Warm Temperate Southwestern Atlantic","Temperate South America","marine"
"1010","Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific","marine"
"1011","Southern Caribbean","Tropical Northwestern Atlantic","Tropical Atlantic","marine"
"1012","Southern China","South China Sea","Central Indo-Pacific","marine"
"1013","Southern Grand Banks - South Newfoundland","Cold Temperate Northwest Atlantic","Temperate Northern Atlantic","marine"
"1014","Southern Gulf of Mexico","Tropical Northwestern Atlantic","Tropical Atlantic","marine"
"1015","South New Zealand","Southern New Zealand","Temperate Australasia","marine"
"1016","Southern Red Sea","Red Sea and Gulf of Aden","Western Indo-Pacific","marine"
"1017","Southern Vietnam","Sunda Shelf","Central Indo-Pacific","marine"
"1018","Southwestern Caribbean","Tropical Northwestern Atlantic","Tropical Atlantic","marine"
"1019","St. Helena and Ascension Islands","St. Helena and Ascension Islands","Tropical Atlantic","marine"
"1020","Sulawesi Sea/Makassar Strait","Western Coral Triangle","Central Indo-Pacific","marine"
"1021","East African Coral Coast","Western Indian Ocean","Western Indo-Pacific","marine"
"1022","Northern Monsoon Current Coast","Western Indian Ocean","Western Indo-Pacific","marine"
"1023","Bight of Sofala/Swamp Coast","Western Indian Ocean","Western Indo-Pacific","marine"
"1024","Three Kings-North Cape","Northern New Zealand","Temperate Australasia","marine"
"1025","Tonga Islands","Tropical Southwestern Pacific","Central Indo-Pacific","marine"
"1026","Trindade and Martin Vaz Islands","Tropical Southwestern Atlantic","Tropical Atlantic","marine"
"1027","Tristan Gough","Tristan Gough","Temperate South America","marine"
"1028","Marquesas","Marquesas","Eastern Indo-Pacific","marine"
"1029","Tweed-Moreton","East Central Australian Shelf","Temperate Australasia","marine"
"1030","Uruguay-Buenos Aires Shelf","Warm Temperate Southwestern Atlantic","Temperate South America","marine"
"1031","Vanuatu","Tropical Southwestern Pacific","Central Indo-Pacific","marine"
"1032","Virginian","Cold Temperate Northwest Atlantic","Temperate Northern Atlantic","marine"
"1033","West Caroline Islands","Tropical Northwestern Pacific","Central Indo-Pacific","marine"
"1034","Weddell Sea","Continental High Antarctic","Southern Ocean","marine"
"1035","West Greenland Shelf","Arctic","Arctic","marine"
"1036","Western and Northern Madagascar","Western Indian Ocean","Western Indo-Pacific","marine"
"1037","Western Arabian Sea","Somali/Arabian","Western Indo-Pacific","marine"
"1038","Western Bassian","Southeast Australian Shelf","Temperate Australasia","marine"
"1039","Western Caribbean","Tropical Northwestern Atlantic","Tropical Atlantic","marine"
"1040","Western Galapagos Islands","Galapagos","Tropical Eastern Pacific","marine"
"1041","Western India","West and South Indian Shelf","Western Indo-Pacific","marine"
"1042","Yellow Sea","Cold Temperate Northwest Pacific","Temperate Northern Pacific","marine"
"1043","Southern Java","Java Transitional","Central Indo-Pacific","marine"
"1044","Western Sumatra","Andaman","Western Indo-Pacific","marine"
"1045","Torres Strait Northern Great Barrier Reef","Northeast Australian Shelf","Central Indo-Pacific","marine"
"1046","Central and Southern Great Barrier Reef","Northeast Australian Shelf","Central Indo-Pacific","marine"
"1047","Sunda Shelf/Java Sea","Sunda Shelf","Central Indo-Pacific","marine"
"1048","North and East Iceland","Arctic","Arctic","marine"
"1049","South and West Iceland","Northern European Seas","Temperate Northern Atlantic","marine"
"1050","North Sea","Northern European Seas","Temperate Northern Atlantic","marine"
"1051","Southern Norway","Northern European Seas","Temperate Northern Atlantic","marine"
"1052","Northern Norway and Finnmark","Northern European Seas","Temperate Northern Atlantic","marine"
"1053","North and East Barents Sea","Arctic","Arctic","marine"
"1054","White Sea","Arctic","Arctic","marine"
"1055","Greater Antilles","Tropical Northwestern Atlantic","Tropical Atlantic","marine"
"1056","Southern Cook/Austral Islands","Southeast Polynesia","Eastern Indo-Pacific","marine"
"1057","Gulf of Guinea South","Gulf of Guinea","Tropical Atlantic","marine"
"1058","Angolan","Gulf of Guinea","Tropical Atlantic","marine"
"1059","Sahelian Upwelling","West African Transition","Tropical Atlantic","marine"
"1060","Adriatic Sea","Mediterranean Sea","Temperate Northern Atlantic","marine"
"1061","Levantine Sea","Mediterranean Sea","Temperate Northern Atlantic","marine"
"1062","Tunisian Plateau/Gulf of Sidra","Mediterranean Sea","Temperate Northern Atlantic","marine"
"1063","Ionian Sea","Mediterranean Sea","Temperate Northern Atlantic","marine"
"1064","Aegean Sea","Mediterranean Sea","Temperate Northern Atlantic","marine"
"1065","Alboran Sea","Mediterranean Sea","Temperate Northern Atlantic","marine"
"1066","Western Mediterranean","Mediterranean Sea","Temperate Northern Atlantic","marine"
"1067","High Arctic Archipelago","Arctic","Arctic","marine"
"1068","Coastal Exmouth to Broome","Coastal Northwest Australian Shelf","Coastal Central Indo-Pacific","coastal"
"1069","Coastal Faroe Plateau","Coastal Northern European Seas","Coastal Temperate Northern Atlantic","coastal"
"1070","Coastal Eastern India","Coastal Bay of Bengal","Coastal Western Indo-Pacific","coastal"
"1071","Coastal Eastern Philippines","Coastal Western Coral Triangle","Coastal Central Indo-Pacific","coastal"
"1072","Coastal Floridian","Coastal Tropical Northwestern Atlantic","Coastal Tropical Atlantic","coastal"
"1073","Coastal Fernando de Naronha and Atoll das Rocas","Coastal Tropical Southwestern Atlantic","Coastal Tropical Atlantic","coastal"
"1074","Coastal Fiji Islands","Coastal Tropical Southwestern Pacific","Coastal Central Indo-Pacific","coastal"
"1075","Coastal Lancaster Sound","Coastal Arctic","Coastal Arctic","coastal"
"1076","Coastal Laptev Sea","Coastal Arctic","Coastal Arctic","coastal"
"1077","Coastal Kermadec Island","Coastal Northern New Zealand","Coastal Temperate Australasia","coastal"
"1078","Coastal Line Islands","Coastal Central Polynesia","Coastal Eastern Indo-Pacific","coastal"
"1079","Coastal Lord Howe and Norfolk Islands","Coastal Lord Howe and Norfolk Islands","Coastal Central Indo-Pacific","coastal"
"1080","Coastal Leeuwin","Coastal Southwest Australian Shelf","Coastal Temperate Australasia","coastal"
"1081","Coastal Lesser Sunda","Coastal Western Coral Triangle","Coastal Central Indo-Pacific","coastal"
"1082","Coastal Magdalena Transition","Coastal Warm Temperate Northeast Pacific","Coastal Temperate Northern Pacific","coastal"
"1083","Coastal Malacca Strait","Coastal Sunda Shelf","Coastal Central Indo-Pacific","coastal"
"1084","Coastal Macquarie Island","Coastal Subantarctic Islands","Coastal Southern Ocean","coastal"
"1085","Coastal Manning-Hawkesbury","Coastal East Central Australian Shelf","Coastal Temperate Australasia","coastal"
"1086","Coastal Mariana Islands","Coastal Tropical Northwestern Pacific","Coastal Central Indo-Pacific","coastal"
"1087","Coastal Maldives","Coastal Central Indian Ocean Islands","Coastal Western Indo-Pacific","coastal"
"1088","Coastal Malvinas/Falklands","Coastal Magellanic","Coastal Temperate South America","coastal"
"1089","Coastal Halmahera","Coastal Western Coral Triangle","Coastal Central Indo-Pacific","coastal"
"1090","Coastal Hawaii","Coastal Hawaii","Coastal Eastern Indo-Pacific","coastal"
"1091","Coastal Gulf of Thailand","Coastal Sunda Shelf","Coastal Central Indo-Pacific","coastal"
"1092","Coastal Gulf of Tonkin","Coastal South China Sea","Coastal Central Indo-Pacific","coastal"
"1093","Coastal Heard and Macdonald Islands","Coastal Subantarctic Islands","Coastal Southern Ocean","coastal"
"1094","Coastal Houtman","Coastal West Central Australian Shelf","Coastal Temperate Australasia","coastal"
"1095","Coastal Juan Fernandez and Desventuradas","Coastal Juan Fernandez and Desventuradas","Coastal Temperate South America","coastal"
"1096","Coastal Hudson Complex","Coastal Arctic","Coastal Arctic","coastal"
"1097","Coastal Humboldtian","Coastal Warm Temperate Southeastern Pacific","Coastal Temperate South America","coastal"
"1098","Coastal Kara Sea","Coastal Arctic","Coastal Arctic","coastal"
"1099","Coastal Kerguelen Islands","Coastal Subantarctic Islands","Coastal Southern Ocean","coastal"
"1100","Coastal Kamchatka Shelf and Coast","Coastal Cold Temperate Northwest Pacific","Coastal Temperate Northern Pacific","coastal"
"1101","Coastal Bahamian","Coastal Tropical Northwestern Atlantic","Coastal Tropical Atlantic","coastal"
"1102","Coastal Baltic Sea","Coastal Northern European Seas","Coastal Temperate Northern Atlantic","coastal"
"1103","Coastal Azores Canaries Madeira","Coastal Lusitanian","Coastal Temperate Northern Atlantic","coastal"
"1104","Coastal Baffin Bay - Davis Strait","Coastal Arctic","Coastal Arctic","coastal"
"1105","Coastal Beaufort-Amundsen-Viscount Melville-Queen Maud","Coastal Arctic","Coastal Arctic","coastal"
"1106","Coastal Beaufort Sea - continental coast and shelf","Coastal Arctic","Coastal Arctic","coastal"
"1107","Coastal Banda Sea","Coastal Western Coral Triangle","Coastal Central Indo-Pacific","coastal"
"1108","Coastal Bassian","Coastal Southeast Australian Shelf","Coastal Temperate Australasia","coastal"
"1109","Coastal Black Sea","Coastal Black Sea","Coastal Temperate Northern Atlantic","coastal"
"1110","Coastal Bonaparte Coast","Coastal Sahul Shelf","Coastal Central Indo-Pacific","coastal"
"1111","Coastal Bermuda","Coastal Tropical Northwestern Atlantic","Coastal Tropical Atlantic","coastal"
"1112","Coastal Bismarck Sea","Coastal Eastern Coral Triangle","Coastal Central Indo-Pacific","coastal"
"1113","Coastal Bouvet Island","Coastal Subantarctic Islands","Coastal Southern Ocean","coastal"
"1114","Coastal Campbell Island","Coastal Subantarctic New Zealand","Coastal Southern Ocean","coastal"
"1115","Coastal Bounty and Antipodes Islands","Coastal Subantarctic New Zealand","Coastal Southern Ocean","coastal"
