"","ecoregion","province","realm","eco_type"
"139","Eastern Panamanian montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"140","Veracruz montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"141","Yucatán dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"142","Panamanian dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"143","Cocos Island moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"144","Bajío dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"145","Eastern Cordillera real montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"146","Southwest Amazon moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"147","Beni savanna","Neotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Neotropical","terrestrial"
"148","Sechura desert","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"149","Central Andean wet puna","Neotropical Montane Grasslands and Shrublands","Neotropical","terrestrial"
"150","Arctic desert","Palearctic Tundra","Palearctic","terrestrial"
"151","Beringia lowland tundra","Nearctic Tundra","Nearctic","terrestrial"
"152","Veracruz dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"153","Sierra de los Tuxtlas","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"154","Southern Pacific dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"155","Gurupa varzeá","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"156","Northeastern Brazil restingas","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"157","Monte Alegre varzeá","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"158","Caatinga Enclaves moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"159","Rock and Ice","NA Rock and Ice",NA,"terrestrial"
"160","Beringia upland tundra","Nearctic Tundra","Nearctic","terrestrial"
"161","North Atlantic moist mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"162","Sarmatic mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"163","Northern Pacific coastal forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"164","Torngat Mountain tundra","Nearctic Tundra","Nearctic","terrestrial"
"165","Chiapas Depression dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"166","Sierra Madre de Chiapas moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"167","Motagua Valley thornscrub","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"168","Paraguana xeric scrub","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"169","Lara-Falcón dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"170","Cordillera Oriental montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"171","Maracaibo dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"172","Santa Marta páramo","Neotropical Montane Grasslands and Shrublands","Neotropical","terrestrial"
"173","Magdalena-Urabá moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"174","Mato Grosso seasonal forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"175","Xingu-Tocantins-Araguaia moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"176","Purus-Madeira moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"177","Pernambuco interior forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"178","Tyrrhenian-Adriatic Sclerophyllous and mixed forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
